probe	arm	first_rank	recall_at_k	mrr	ndcg_at_k	returned
p01-fork-sync	energy_neutral	0	0	0	0	10
p01-fork-sync	both	0	0	0	0	10
p01-fork-sync	baseline	0	0	0	0	10
p01-fork-sync	temporal_only	0	0	0	0	10
p02-storage-exhausted	temporal_only	0	0	0	0	10
p02-storage-exhausted	both	0	0	0	0	10
p02-storage-exhausted	energy_neutral	0	0	0	0	10
p02-storage-exhausted	baseline	0	0	0	0	10
p03-branding-overlay	energy_neutral	3	1	0.3333333333333333	0.5	10
p03-branding-overlay	both	1	1	1	1	10
p03-branding-overlay	temporal_only	1	1	1	1	10
p03-branding-overlay	baseline	4	1	0.25	0.43067655807339306	10
p04-station-advert	energy_neutral	0	0	0	0	10
p04-station-advert	both	0	0	0	0	10
p04-station-advert	temporal_only	0	0	0	0	10
p04-station-advert	baseline	0	0	0	0	10
p05-sensemaking-plan	temporal_only	0	0	0	0	10
p05-sensemaking-plan	energy_neutral	0	0	0	0	10
p05-sensemaking-plan	baseline	0	0	0	0	10
p05-sensemaking-plan	both	0	0	0	0	10
p06-auto-deploy	energy_neutral	0	0	0	0	10
p06-auto-deploy	baseline	0	0	0	0	10
p06-auto-deploy	both	0	0	0	0	10
p06-auto-deploy	temporal_only	0	0	0	0	10
