run	fitness	noise_removal	signal_preservation	phase_coherence	speed	consciousness	encoding_entropy	transfer_score	frequency_transfer	online_retention	catastrophic_forgetting	temporal_separation	carrier_emergence	xi_robustness_v2	total_ms
irx16-t2	0.164039	1.0000	1.0000	0.9645	0.9716	0.8943	1.0000	0.684216	0.9734	1.0000	1.0000	1.0000	0.0000	0.9381	14762
irx16-a10-t3	0.173064	1.0000	1.0000	0.9701	0.9886	0.9725	1.0000	0.750435	0.9974	1.0000	1.0000	1.0000	0.4966	0.4449	13007
L5	0.161401	1.0000	1.0000	0.6871	0.7208	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.6451	119257
L5	0.127856	1.0000	1.0000	0.6871	0.7221	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.8685	118384
L5	0.110317	1.0000	1.0000	0.6871	0.7225	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.9947	118461
L5	0.160302	1.0000	1.0000	0.6871	0.7203	0.8326	1.0000	0.720998	0.9939	1.0000	1.0000	1.0000	0.5588	0.6397	117047
L5	0.135417	1.0000	1.0000	0.6871	0.7205	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.8278	119277
L5	0.117090	1.0000	1.0000	0.6871	0.7215	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.9498	118616
L5	0.185282	1.0000	1.0000	0.6871	0.7211	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.4703	119631
hyp-no_transfer.A0.1-t1	0.160037	1.0000	1.0000	0.6871	0.7635	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.6551	100943
hyp-no_transfer.A0.1-t2	0.121374	1.0000	1.0000	0.6871	0.7683	0.8326	1.0000	0.718530	0.9880	1.0000	1.0000	1.0000	0.5588	0.8960	98971
hyp-no_transfer.A0.1-t3	0.179109	1.0000	1.0000	0.6871	0.7681	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.5270	98733
hyp-no_transfer.ref-xi_and_flat	0.148249	1.0000	1.0000	0.7006	0.7990	0.8771	1.0000	0.644837	0.9901	1.0000	1.0000	1.0000	0.5588	0.7723	97679
L5	0.159925	1.0000	1.0000	0.6871	0.8664	0.8326	1.0000	0.720998	0.9939	1.0000	1.0000	1.0000	0.5588	0.6130	55216
L5	0.150762	1.0000	1.0000	0.6871	0.8665	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.6963	56541
L5	0.167253	1.0000	1.0000	0.6871	0.8659	0.8326	1.0000	0.718530	0.9880	1.0000	1.0000	1.0000	0.5588	0.5706	56843
L5	0.179263	1.0000	1.0000	0.6871	0.8648	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.4972	56620
L5	0.161004	1.0000	1.0000	0.6871	0.7727	0.8326	1.0000	0.706831	0.9904	1.0000	1.0000	1.0000	0.5588	0.6410	95985
L5	0.193310	1.0000	1.0000	0.6871	0.7704	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.4224	97932
L5	0.165386	1.0000	1.0000	0.6871	0.7693	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.6088	96975
L5	0.134662	1.0000	1.0000	0.6871	0.7717	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.8132	96597
L5	0.150874	1.0000	1.0000	0.6871	0.7680	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.7058	99534
L5	0.199247	1.0000	1.0000	0.6871	0.7677	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.3679	99051
L5	0.199482	1.0000	1.0000	0.6871	0.7672	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.3914	98492
L5	0.150997	1.0000	1.0000	0.6871	0.7732	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.7134	96312
L5	0.170260	1.0000	1.0000	0.6871	0.7695	0.8326	1.0000	0.718530	0.9880	1.0000	1.0000	1.0000	0.5588	0.5698	97820
L5	0.157370	1.0000	1.0000	0.6871	0.7739	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.6708	96946
L5.no_transfer.A0.1-t1	0.199085	1.0000	1.0000	0.6871	0.7280	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.3769	116545
L5.no_transfer.A0.1-t2	0.107292	1.0000	1.0000	0.6871	0.7258	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.9893	116860
L5.no_transfer.A0.1-t3	0.133595	1.0000	1.0000	0.6871	0.7260	0.8326	1.0000	0.718530	0.9880	1.0000	1.0000	1.0000	0.5588	0.8230	116216
hyp-ksweep.K1.0	0.141100	1.0000	1.0000	0.5504	0.7224	0.8427	1.0000	0.682399	0.9969	1.0000	1.0000	1.0000	0.5684	0.8137	83974
hyp-ksweep.K5.0	0.225799	1.0000	1.0000	0.6307	0.7239	0.9370	1.0000	0.500763	0.9992	1.0000	1.0000	1.0000	0.4050	0.5082	66099
hyp-ksweep.K1.0	0.141647	1.0000	1.0000	0.5504	0.7234	0.8427	1.0000	0.636984	0.9865	1.0000	1.0000	1.0000	0.5684	0.8622	115729
hyp-ksweep.K7.0	0.176632	1.0000	1.0000	0.8207	0.9182	0.8845	1.0000	0.668451	0.9999	1.0000	1.0000	1.0000	0.5361	0.5267	43038
hyp-ksweep.K1.0	0.132361	1.0000	1.0000	0.5504	0.7244	0.8427	1.0000	0.644310	0.9865	1.0000	1.0000	1.0000	0.5684	0.9165	114728
L5	0.212006	1.0000	1.0000	0.9676	0.9889	0.9741	1.0000	0.718314	0.9818	1.0000	1.0000	1.0000	0.7140	0.0828	13369
L5	0.243389	1.0000	1.0000	0.9645	0.9731	0.8943	1.0000	0.713969	0.9988	1.0000	1.0000	1.0000	0.0000	0.3621	11655
L5	0.100985	1.0000	1.0000	0.9701	0.9889	0.9725	1.0000	0.750435	0.9974	1.0000	1.0000	1.0000	0.4966	0.9254	12675
L5	0.195730	1.0000	1.0000	0.9701	0.9889	0.9725	1.0000	0.750617	0.9974	1.0000	1.0000	1.0000	0.4966	0.2935	12791
L5	0.149545	1.0000	1.0000	0.9701	0.9889	0.9725	1.0000	0.750435	0.9974	1.0000	1.0000	1.0000	0.4966	0.6016	12874
L5	0.126431	1.0000	1.0000	0.6871	0.7685	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.8532	99376
L5	0.191494	1.0000	1.0000	0.6871	0.7666	0.8326	1.0000	0.718530	0.9880	1.0000	1.0000	1.0000	0.5588	0.4289	98690
L5	0.129123	1.0000	1.0000	0.6871	0.7684	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.8508	98850
L5	0.188040	1.0000	1.0000	0.6871	0.7660	0.8326	1.0000	0.702644	0.9880	1.0000	1.0000	1.0000	0.5588	0.4679	99671
L5	0.112277	1.0000	1.0000	0.6871	0.7673	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.9633	99125
L5	0.128182	1.0000	1.0000	0.6871	0.7629	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.8581	99843
L5	0.175137	1.0000	1.0000	0.6871	0.7676	0.8326	1.0000	0.706831	0.9904	1.0000	1.0000	1.0000	0.5588	0.5478	96536
L5	0.200633	1.0000	1.0000	0.6871	0.7669	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.3588	98760
L5	0.142625	1.0000	1.0000	0.6871	0.7736	0.8326	1.0000	0.706831	0.9904	1.0000	1.0000	1.0000	0.5588	0.7634	95802
L5	0.157457	1.0000	1.0000	0.6871	0.7667	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.6467	101041
L5	0.147940	1.0000	1.0000	0.6871	0.7708	0.8326	1.0000	0.709696	0.9916	1.0000	1.0000	1.0000	0.5588	0.7248	98602
L5	0.192187	1.0000	1.0000	0.5504	0.8673	0.8427	1.0000	0.682399	0.9969	1.0000	1.0000	1.0000	0.5684	0.4441	40069
L5	0.186807	1.0000	1.0000	0.5355	0.9326	0.9968	1.0000	0.533806	0.9895	1.0000	1.0000	1.0000	0.5661	0.5932	43039
L5	0.164263	1.0000	1.0000	0.6871	0.8677	0.8326	1.0000	0.706831	0.9904	1.0000	1.0000	1.0000	0.5588	0.6003	55106
L5	0.185336	1.0000	1.0000	0.6307	0.8688	0.9370	1.0000	0.466091	0.9992	1.0000	1.0000	1.0000	0.4050	0.7836	36877
L5	0.235089	1.0000	1.0000	0.8207	0.9606	0.8845	1.0000	0.656545	0.9999	1.0000	1.0000	1.0000	0.5361	0.1404	20826
L5	0.167313	1.0000	1.0000	0.6871	0.7663	0.8326	1.0000	0.718530	0.9880	1.0000	1.0000	1.0000	0.5588	0.5901	99575
L5	0.165858	1.0000	1.0000	0.6871	0.7684	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.5904	98151
L5	0.160240	1.0000	1.0000	0.6871	0.7693	0.8326	1.0000	0.725206	0.9916	1.0000	1.0000	1.0000	0.5588	0.6276	99196

L5	0.168193	1.0000	1.0000	0.5029	0.7725	0.9248	1.0000	0.690034	0.9938	1.0000	1.0000	1.0000	0.5489	0.6203	94282
L5	0.220606	1.0000	1.0000	0.6180	0.7649	0.8582	1.0000	0.560599	0.9935	1.0000	1.0000	1.0000	0.5581	0.3940	91889
L5	0.138053	1.0000	1.0000	0.5377	0.7279	0.9148	1.0000	0.627601	0.9903	1.0000	1.0000	1.0000	0.5489	0.8924	118820
L5	0.130416	1.0000	1.0000	0.5029	0.7242	0.9248	1.0000	0.680519	0.9947	1.0000	1.0000	1.0000	0.5489	0.8908	113189
L5	0.146772	1.0000	1.0000	0.5029	0.7284	0.9248	1.0000	0.690034	0.9938	1.0000	1.0000	1.0000	0.5489	0.7720	113101
