probe	arm	first_rank	recall_at_k	mrr	ndcg_at_k	returned
p37	energy_neutral	0	0	0	0	10
p37	baseline	0	0	0	0	10
p37	both	0	0	0	0	10
p37	temporal_only	0	0	0	0	10
p38	baseline	0	0	0	0	10
p38	temporal_only	0	0	0	0	10
p38	both	3	1	0.3333333333333333	0.5	10
p38	energy_neutral	3	1	0.3333333333333333	0.5	10
p39	energy_neutral	0	0	0	0	10
p39	temporal_only	0	0	0	0	10
p39	both	0	0	0	0	10
p39	baseline	0	0	0	0	10
p40	energy_neutral	1	1	1	1	10
p40	both	1	1	1	1	10
p40	temporal_only	3	1	0.3333333333333333	0.5	10
p40	baseline	5	1	0.2	0.38685280723454163	10
p41	baseline	0	0	0	0	10
p41	both	0	0	0	0	10
p41	temporal_only	0	0	0	0	10
p41	energy_neutral	0	0	0	0	10
p42	energy_neutral	0	0	0	0	10
p42	both	0	0	0	0	10
p42	baseline	0	0	0	0	10
p42	temporal_only	0	0	0	0	10
p43	baseline	0	0	0	0	10
p43	temporal_only	0	0	0	0	10
p43	energy_neutral	9	1	0.1111111111111111	0.3010299956639812	10
p43	both	6	1	0.16666666666666666	0.3562071871080222	10
p44	temporal_only	0	0	0	0	10
p44	both	0	0	0	0	10
p44	energy_neutral	0	0	0	0	10
p44	baseline	0	0	0	0	10
p45	baseline	0	0	0	0	10
p45	both	7	1	0.14285714285714285	0.3333333333333333	10
p45	temporal_only	9	1	0.1111111111111111	0.3010299956639812	10
p45	energy_neutral	9	1	0.1111111111111111	0.3010299956639812	10
p46	energy_neutral	0	0	0	0	10
p46	both	0	0	0	0	10
p46	baseline	0	0	0	0	10
p46	temporal_only	0	0	0	0	10
p47	baseline	0	0	0	0	10
p47	temporal_only	0	0	0	0	10
p47	energy_neutral	0	0	0	0	10
p47	both	0	0	0	0	10
p48	temporal_only	0	0	0	0	10
p48	both	0	0	0	0	10
p48	energy_neutral	0	0	0	0	10
p48	baseline	0	0	0	0	10
p49	baseline	0	0	0	0	10
p49	both	0	0	0	0	10
p49	temporal_only	0	0	0	0	10
p49	energy_neutral	0	0	0	0	10
p50	baseline	0	0	0	0	10
p50	temporal_only	7	1	0.14285714285714285	0.3333333333333333	10
p50	energy_neutral	0	0	0	0	10
p50	both	3	1	0.3333333333333333	0.5	10
